Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,underfive deaths ,Polio,Total expenditure,Diphtheria , HIVAIDS,GDP,Population, thinness19, thinness9years,Income composition of resources,Schooling
0.0,1.0,0.0,0.5445920303605314,0.3628808864265928,0.034444444444444444,0.0,0.003659134858877319,0.6530612244897959,0.005438701498235014,0.20973348783314022,0.0332,0.03125,0.4521183981427742,0.6494845360824743,0.0,0.004888585012167692,0.02607428879088441,0.6195652173913043,0.6035087719298246,0.5052742616033755,0.48792270531400966
0.0,0.9333333333333333,0.0,0.4478178368121442,0.3739612188365651,0.035555555555555556,0.0,0.0037743283004557744,0.6224489795918368,0.0023187531517605085,0.20393974507531867,0.0344,0.5729166666666666,0.4532791642484039,0.6185567010309279,0.0,0.0051272109326941885,0.00025315581850842106,0.6304347826086957,0.6105263157894736,0.5021097046413502,0.48309178743961356
0.0,0.8666666666666667,0.0,0.4478178368121442,0.3698060941828255,0.03666666666666667,0.0,0.00375870507966848,0.6428571428571429,0.002026552551335404,0.19814600231749713,0.0356,0.6145833333333334,0.4503772489843297,0.6391752577319587,0.0,0.005287052272765103,0.02452481114522456,0.6376811594202898,0.6175438596491227,0.4957805907172996,0.4782608695652174
0.0,0.8,0.0,0.44022770398481975,0.37534626038781166,0.03833333333333333,0.0,0.004013581625281307,0.673469387755102,0.013134888280399467,0.19235225955967558,0.0372,0.6666666666666666,0.4730121880441091,0.6701030927835051,0.0,0.005607717574019456,0.0028572844932145095,0.644927536231884,0.6280701754385964,0.48839662447257387,0.4734299516908213
0.0,0.7333333333333333,0.0,0.43453510436432646,0.37950138504155123,0.03944444444444444,0.0,0.00036432961530260253,0.6836734693877551,0.014200006598078074,0.18771726535341832,0.0388,0.6770833333333334,0.4352872896111433,0.6804123711340206,0.0,0.0005190511921806096,0.002302078048272422,0.6557971014492754,0.6350877192982456,0.4789029535864979,0.4589371980676329
0.0,0.6666666666666666,0.0,0.4269449715370019,0.3850415512465374,0.04111111111111111,0.0,0.00409033515938012,0.6632653061224489,0.009373983778153764,0.18192352259559674,0.0408,0.65625,0.5124782356355194,0.6597938144329897,0.0,0.004629039868546374,0.0022283204125308036,0.6630434782608695,0.6421052631578946,0.4725738396624473,0.4444444444444444
0.0,0.6,0.0,0.4231499051233397,0.3878116343490305,0.042777777777777776,0.0,0.002913884721677133,0.6326530612244898,0.01348364383574556,0.1761297798377752,0.0424,0.625,0.5252466627974464,0.6288659793814433,0.0,0.003727515272773592,0.00021972791692969758,0.6702898550724639,0.6526315789473683,0.4578059071729958,0.42995169082125606
0.0,0.5333333333333333,0.0,0.4136622390891841,0.3961218836565097,0.044444444444444446,0.001119820828667413,0.0013282362814581582,0.6428571428571429,0.007535947743221653,0.17033603707995365,0.044,0.6354166666666666,0.4619849100406268,0.6391752577319587,0.0,0.0031188760500788174,0.0021095006886606817,0.677536231884058,0.6596491228070175,0.4567510548523207,0.42028985507246375
0.0,0.4666666666666667,0.0,0.40227703984819735,0.407202216066482,0.04555555555555556,0.0005599104143337066,0.0005600721501425746,0.6326530612244898,0.0053774336304039435,0.1645422943221321,0.0452,0.625,0.3691236215902496,0.6288659793814433,0.0,0.0030892940333820786,0.020571602200381515,0.6847826086956522,0.6666666666666666,0.43776371308016876,0.4057971014492754
0.0,0.4,0.0,0.39848197343453506,0.407202216066482,0.04666666666666667,0.001119820828667413,0.0008814987384842657,0.6428571428571429,0.009378696691063846,0.15874855156431053,0.0464,0.5729166666666666,0.4097504352872896,0.5773195876288659,0.0,0.0022730553791929435,0.0020012307984718525,0.6920289855072463,0.6736842105263158,0.4272151898734178,0.391304347826087
